date,copper
1/1/1989,3394.06
2/1/1989,3096.92
3/1/1989,3264.14
4/1/1989,3117.91
5/1/1989,2738.98
6/1/1989,2546.01
7/1/1989,2505.00
8/1/1989,2762.20
9/1/1989,2884.40
10/1/1989,2861.40
11/1/1989,2591.30
12/1/1989,2418.60
1/1/1990,2366.64
2/1/1990,2360.16
3/1/1990,2625.61
4/1/1990,2686.15
5/1/1990,2741.95
6/1/1990,2584.56
7/1/1990,2769.49
8/1/1990,2957.03
9/1/1990,3031.37
10/1/1990,2743.56
11/1/1990,2585.89
12/1/1990,2485.38
1/1/1991,2448.52
2/1/1991,2449.38
3/1/1991,2409.63
4/1/1991,2472.04
5/1/1991,2305.88
6/1/1991,2219.28
7/1/1991,2236.28
8/1/1991,2233.19
9/1/1991,2324.57
10/1/1991,2363.64
11/1/1991,2379.84
12/1/1991,2223.14
1/1/1992,2139.23
2/1/1992,2205.97
3/1/1992,2227.33
4/1/1992,2215.33
5/1/1992,2216.52
6/1/1992,2299.20
7/1/1992,2520.32
8/1/1992,2521.64
9/1/1992,2414.06
10/1/1992,2249.15
11/1/1992,2158.32
12/1/1992,2206.82
1/1/1993,2256.85
2/1/1993,2212.60
3/1/1993,2152.59
4/1/1993,1949.88
5/1/1993,1794.50
6/1/1993,1853.42
7/1/1993,1927.16
8/1/1993,1947.45
9/1/1993,1861.86
10/1/1993,1646.40
11/1/1993,1630.02
12/1/1993,1724.19
1/1/1994,1805.35
2/1/1994,1866.40
3/1/1994,1914.87
4/1/1994,1881.82
5/1/1994,2150.60
6/1/1994,2364.20
7/1/1994,2458.19
8/1/1994,2406.23
9/1/1994,2505.93
10/1/1994,2547.67
11/1/1994,2802.45
12/1/1994,2985.30
1/1/1995,3008.93
2/1/1995,2877.65
3/1/1995,2924.04
4/1/1995,2903.50
5/1/1995,2773.31
6/1/1995,2994.64
7/1/1995,3075.67
8/1/1995,3036.84
9/1/1995,2915.52
10/1/1995,2813.55
11/1/1995,2977.36
12/1/1995,2926.26
1/1/1996,2616.41
2/1/1996,2537.71
3/1/1996,2561.02
4/1/1996,2595.78
5/1/1996,2658.26
6/1/1996,2173.40
7/1/1996,1985.57
8/1/1996,2008.57
9/1/1996,1941.45
10/1/1996,1961.17
11/1/1996,2230.86
12/1/1996,2268.08
1/1/1997,2434.93
2/1/1997,2405.85
3/1/1997,2421.29
4/1/1997,2391.18
5/1/1997,2514.33
6/1/1997,2612.62
7/1/1997,2450.46
8/1/1997,2251.20
9/1/1997,2107.30
10/1/1997,2052.26
11/1/1997,1917.45
12/1/1997,1762.33
1/1/1998,1688.45
2/1/1998,1664.80
3/1/1998,1747.98
4/1/1998,1800.90
5/1/1998,1732.53
6/1/1998,1660.52
7/1/1998,1651.04
8/1/1998,1620.93
9/1/1998,1647.64
10/1/1998,1586.39
11/1/1998,1573.95
12/1/1998,1473.57
1/1/1999,1431.18
2/1/1999,1410.78
3/1/1999,1378.35
4/1/1999,1466.00
5/1/1999,1511.16
6/1/1999,1422.48
7/1/1999,1640.00
8/1/1999,1647.62
9/1/1999,1750.34
10/1/1999,1724.12
11/1/1999,1727.55
12/1/1999,1764.75
1/1/2000,1843.98
2/1/2000,1800.83
3/1/2000,1739.39
4/1/2000,1678.75
5/1/2000,1785.62
6/1/2000,1753.18
7/1/2000,1799.36
8/1/2000,1855.86
9/1/2000,1960.41
10/1/2000,1898.59
11/1/2000,1795.11
12/1/2000,1850.55
1/1/2001,1787.50
2/1/2001,1765.65
3/1/2001,1738.77
4/1/2001,1664.16
5/1/2001,1682.21
6/1/2001,1608.45
7/1/2001,1525.21
8/1/2001,1464.43
9/1/2001,1426.33
10/1/2001,1377.28
11/1/2001,1427.73
12/1/2001,1471.74
1/1/2002,1503.96
2/1/2002,1561.90
3/1/2002,1604.88
4/1/2002,1590.33
5/1/2002,1595.68
6/1/2002,1647.53
7/1/2002,1589.46
8/1/2002,1479.55
9/1/2002,1478.71
10/1/2002,1483.76
11/1/2002,1582.29
12/1/2002,1595.68
1/1/2003,1647.66
2/1/2003,1683.80
3/1/2003,1658.98
4/1/2003,1587.48
5/1/2003,1648.28
6/1/2003,1686.50
7/1/2003,1710.00
8/1/2003,1760.28
9/1/2003,1789.52
10/1/2003,1920.54
11/1/2003,2055.43
12/1/2003,2201.29
1/1/2004,2423.57
2/1/2004,2759.53
3/1/2004,3008.72
