"date","SPY","XLB","XLE","XLF","XLI","XLK","XLP","XLU","XLV","XLY"
1993-08-24,NA,NA,46.2188,NA,NA,NA,NA,NA,NA,NA
1993-08-25,NA,NA,46.25,NA,NA,NA,NA,NA,NA,NA
1993-08-26,NA,NA,46.2813,NA,NA,NA,NA,NA,NA,NA
1993-08-27,NA,NA,46.25,NA,NA,NA,NA,NA,NA,NA
1993-08-30,NA,NA,46.4375,NA,NA,NA,NA,NA,NA,NA
1993-08-31,NA,NA,46.5625,NA,NA,NA,NA,NA,NA,NA
1993-09-01,NA,NA,46.5,NA,NA,NA,NA,NA,NA,NA
1993-09-02,NA,NA,46.3438,NA,NA,NA,NA,NA,NA,NA
1993-09-03,NA,NA,46.375,NA,NA,NA,NA,NA,NA,NA
1993-09-07,NA,NA,46.0625,NA,NA,NA,NA,NA,NA,NA
1993-09-08,NA,NA,45.9063,NA,NA,NA,NA,NA,NA,NA
1993-09-09,NA,NA,46,NA,NA,NA,NA,NA,NA,NA
1993-09-10,NA,NA,46.4063,NA,NA,NA,NA,NA,NA,NA
1993-09-13,NA,NA,46.4375,NA,NA,NA,NA,NA,NA,NA
1993-09-14,NA,NA,46.25,NA,NA,NA,NA,NA,NA,NA
1993-09-15,NA,NA,46.375,NA,NA,NA,NA,NA,NA,NA
1993-09-16,NA,NA,46.2813,NA,NA,NA,NA,NA,NA,NA
1993-09-17,NA,NA,45.8125,NA,NA,NA,NA,NA,NA,NA
1993-09-20,NA,NA,45.4375,NA,NA,NA,NA,NA,NA,NA
1993-09-21,NA,NA,45.2813,NA,NA,NA,NA,NA,NA,NA
1993-09-22,NA,NA,45.6563,NA,NA,NA,NA,NA,NA,NA
1993-09-23,NA,NA,45.9063,NA,NA,NA,NA,NA,NA,NA
1993-09-24,NA,NA,45.7813,NA,NA,NA,NA,NA,NA,NA
1993-09-27,NA,NA,46.2813,NA,NA,NA,NA,NA,NA,NA
1993-09-28,NA,NA,46.1875,NA,NA,NA,NA,NA,NA,NA
1993-09-29,NA,NA,46.0313,NA,NA,NA,NA,NA,NA,NA
1993-09-30,NA,NA,45.9375,NA,NA,NA,NA,NA,NA,NA
1993-10-01,NA,NA,46.1563,NA,NA,NA,NA,NA,NA,NA
1993-10-04,NA,NA,46.2188,NA,NA,NA,NA,NA,NA,NA
1993-10-05,NA,NA,46.1563,NA,NA,NA,NA,NA,NA,NA
1993-10-06,NA,NA,46.125,NA,NA,NA,NA,NA,NA,NA
1993-10-07,NA,NA,46,NA,NA,NA,NA,NA,NA,NA
1993-10-08,NA,NA,46.0625,NA,NA,NA,NA,NA,NA,NA
1993-10-11,NA,NA,46.1563,NA,NA,NA,NA,NA,NA,NA
1993-10-12,NA,NA,46.2188,NA,NA,NA,NA,NA,NA,NA
1993-10-13,NA,NA,46.2188,NA,NA,NA,NA,NA,NA,NA
1993-10-14,NA,NA,46.8125,NA,NA,NA,NA,NA,NA,NA
1993-10-15,NA,NA,47.0625,NA,NA,NA,NA,NA,NA,NA
1993-10-18,NA,NA,46.9375,NA,NA,NA,NA,NA,NA,NA
1993-10-19,NA,NA,46.5938,NA,NA,NA,NA,NA,NA,NA
1993-10-20,NA,NA,46.6563,NA,NA,NA,NA,NA,NA,NA
1993-10-21,NA,NA,46.5938,NA,NA,NA,NA,NA,NA,NA
1993-10-22,NA,NA,46.375,NA,NA,NA,NA,NA,NA,NA
1993-10-25,NA,NA,46.5,NA,NA,NA,NA,NA,NA,NA
1993-10-26,NA,NA,46.4688,NA,NA,NA,NA,NA,NA,NA
1993-10-27,NA,NA,46.5,NA,NA,NA,NA,NA,NA,NA
1993-10-28,NA,NA,46.8438,NA,NA,NA,NA,NA,NA,NA
1993-10-29,NA,NA,46.8438,NA,NA,NA,NA,NA,NA,NA
1993-11-01,NA,NA,46.9688,NA,NA,NA,NA,NA,NA,NA
1993-11-02,NA,NA,46.9375,NA,NA,NA,NA,NA,NA,NA
1993-11-03,NA,NA,46.375,NA,NA,NA,NA,NA,NA,NA
1993-11-04,NA,NA,45.8438,NA,NA,NA,NA,NA,NA,NA
1993-11-05,NA,NA,46.0625,NA,NA,NA,NA,NA,NA,NA
1993-11-08,NA,NA,46.125,NA,NA,NA,NA,NA,NA,NA
