"date","stocks","bonds","gold","oil","usd"
2012-10-09,114.002212524414,77.4370651245117,170.990005493164,273.440002441406,18.337043762207
2012-10-10,113.274932861328,77.561653137207,170.839996337891,270.720001220703,18.2952766418457
2012-10-11,113.338157653809,77.6584930419922,171.320007324219,274.320007324219,18.2618560791016
2012-10-12,112.966590881348,77.7207565307617,170.059997558594,272,18.2367935180664
2012-10-15,113.907386779785,77.7623138427734,168.350006103516,272,18.2451515197754
2012-10-16,115.061653137207,77.6377716064453,169.419998168945,273.040008544922,18.1699619293213
2012-10-17,115.583396911621,77.3955764770508,169.539993286133,272.799987792969,18.078067779541
2012-10-18,115.28303527832,77.3679046630859,168.789993286133,272.559997558594,18.1532573699951
2012-10-19,113.361892700195,77.4647598266602,166.970001220703,266.720001220703,18.2200889587402
2012-10-22,113.377723693848,77.3609924316406,167.580001831055,263.200012207031,18.2200889587402
2012-10-23,111.804428100586,77.5339965820312,165.429992675781,255.759994506836,18.3036251068115
2012-10-24,111.488204956055,77.4785995483398,164.860000610352,253.039993286133,18.3036251068115
2012-10-25,111.812370300293,77.3125381469727,166.020004272461,254.240005493164,18.3203353881836
2012-10-26,111.749114990234,77.5200881958008,165.929992675781,254.320007324219,18.3203353881836
2012-10-31,111.749114990234,77.6308059692383,166.830001831055,254.240005493164,18.2869148254395
2012-11-01,112.919174194336,77.5288467407227,166.070007324219,256.480010986328,18.3119812011719
2012-11-02,111.915115356445,77.5774383544922,162.600006103516,250.800003051758,18.4372901916504
2012-11-05,112.144378662109,77.7092132568359,163.229995727539,252.880004882812,18.4790630340576
2012-11-06,113.021965026855,77.4873046875,166.300003051758,260.480010986328,18.4539985656738
2012-11-07,110.46044921875,77.6675415039062,166.490005493164,249.679992675781,18.4874134063721
2012-11-08,109.13224029541,77.7646713256836,167.990005493164,250.399993896484,18.4874134063721
2012-11-09,109.227111816406,77.7230834960938,167.820007324219,253.839996337891,18.5291843414307
2012-11-12,109.314094543457,77.7022552490234,167.449996948242,252.720001220703,18.5375385284424
2012-11-13,108.934577941895,77.8409194946289,167.100006103516,251.279998779297,18.5542469024658
2012-11-14,107.46411895752,77.8617248535156,167.139999389648,254.160003662109,18.5458946228027
2012-11-15,107.282302856445,77.7854614257812,166.089996337891,251.919998168945,18.5458946228027
2012-11-16,107.811973571777,77.8132019042969,165.880004882812,255.440002441406,18.5793075561523
2012-11-19,109.993965148926,77.8686599731445,167.869995117188,261.359985351562,18.4957695007324
2012-11-20,110.041435241699,77.7230834960938,167.389999389648,255.600006103516,18.4874134063721
2012-11-21,110.246978759766,77.5913238525391,167.559997558594,256.959991455078,18.4957695007324
2012-11-23,111.749114990234,77.6397857666016,169.610000610352,258.559997558594,18.3203353881836
2012-11-26,111.511894226074,77.6675415039062,169.429992675781,257.519989013672,18.3286895751953
2012-11-27,110.942665100098,77.7716064453125,168.710006713867,255.839996337891,18.3871669769287
2012-11-28,111.836051940918,77.7854614257812,166.550003051758,254.320007324219,18.3537483215332
2012-11-29,112.357833862305,77.8825607299805,167.179992675781,257.359985351562,18.3286895751953
2012-11-30,112.381546020508,77.8409194946289,166.050003051758,260.480010986328,18.3119812011719
2012-12-03,111.828155517578,77.8520736694336,166.130004882812,260.799987792969,18.2535037994385
2012-12-04,111.670021057129,77.9009170532227,164.419998168945,259.200012207031,18.1950244903564
