date,w_SPX,w_BOND,w_GOLD,w_OIL,w_USD,pnl,cum_pnl,K_market,regime_market,max_p_market,G_market,K_macro,regime_macro,max_p_macro,G_macro,turnover,macro_stress,gamma_eff
2017-03-31,0.18107520909835656,0.4784514552821731,0.04530162760722496,0.04028046021451154,0.25489124779773376,0.0015268974895663355,0.5301635423988523,6,0,0.9999999999999981,5,5,0,0.9997433955459925,5,1.50532729721424e-05,0.22476119001757938,9.495223800351587
2017-04-03,0.18110017932392675,0.478449164862852,0.04529700924320104,0.04026422523202049,0.25488942133799986,0.0017674177913263567,0.5319309601901787,6,0,0.9999999999999957,5,5,0,0.9992871170314914,5,2.4970225570075666e-05,0.22464244126895402,9.492848825379081
2017-04-04,0.1811221331214683,0.47844666655170154,0.0452928149075136,0.04025116531339959,0.254887220105917,-0.00018796682463862238,0.5317429933655401,6,0,0.9999999999999989,5,5,0,0.9973017220830607,5,2.1953797541589964e-05,0.22613460088196657,9.522692017639331
2017-04-05,0.18112359649435605,0.47844652563355056,0.045292543949498415,0.040250234450426775,0.25488709947216803,-0.0009700172002507662,0.5307729761652893,6,0,0.9999999999999951,5,5,0,0.9974461209230117,5,1.463372887863107e-06,0.226038583152421,9.52077166304842
2017-04-06,0.1811408843489964,0.4784448978193084,0.04528936280918307,0.040239174003193226,0.25488568101931874,0.0014317711301491038,0.5322047472954384,6,0,0.9999999999999909,5,5,0,0.9809949246748165,5,1.728785464034932e-05,0.22928119474581343,9.585623894916269
2017-04-07,0.18117112091682613,0.47844162525602624,0.04528367901367246,0.040220892623763244,0.25488268218971183,-0.00042643387767573064,0.5317783134177627,6,0,0.9999999999988519,5,5,0,0.8994374733482559,5,3.0236567829695915e-05,0.23288534154839327,9.657706830967864
2017-04-10,0.18119236551940088,0.478439337022208,0.045279698202446164,0.04020804792265196,0.2548805513332929,0.0018979795699823495,0.5336762929877451,6,0,0.9999999999930175,5,5,0,0.8078875515728493,5,2.1244602574754107e-05,0.2339253234704225,9.67850646940845
2017-04-11,0.18120538402913777,0.4784379468314915,0.04527726854926079,0.04020016395098108,0.25487923663912887,0.0021515841658765376,0.5358278771536217,6,0,0.9999999999694856,5,5,0,0.9250315246617095,5,1.3018509736832662e-05,0.2316880282750452,9.633760565500904
2017-04-12,0.18121292952218732,0.4784371498816832,0.045275866044534575,0.04019558091815395,0.25487847363344085,-0.0005813954230461147,0.5352464817305755,6,0,0.9999999959052672,5,5,0,0.9924927454853333,5,7.545493049612717e-06,0.22787027285409622,9.557405457081924
2017-04-13,0.1812166982208868,0.478436757164557,0.04527516879775938,0.04019328324089746,0.25487809257589933,0.0008488329793141093,0.5360953147098897,6,0,0.9999999506316868,5,5,0,0.999201417734102,5,3.768698699418982e-06,0.22358229719232223,9.471645943846445
2017-04-14,0.18124494381108805,0.47843390704956007,0.04526999795476311,0.040175850657129156,0.2548753005274598,1.1801541368662834e-05,0.5361071162512584,6,0,0.9999999998851068,5,5,0,0.9998969246590149,5,2.824559020114456e-05,0.22192082046601247,9.438416409320249
2017-04-17,0.18126268907175372,0.47843214634294773,0.04526677457929834,0.04016483261957447,0.2548735573864258,0.00039530340900175136,0.5365024196602601,6,0,0.9999999999388778,5,5,0,0.9999687887401412,5,1.774526066573856e-05,0.2205513698939568,9.411027397879137
2017-04-18,0.1812779372081899,0.47843064024974513,0.045264020000109276,0.04015535183247583,0.25487205070947977,0.0011070363462461741,0.5376094560065063,6,0,0.9999999999798499,5,5,0,0.9999760964405859,5,1.524813643626749e-05,0.22028382222508802,9.405676444501761
2017-04-19,0.18128527509950246,0.4784299110305201,0.045262685794721216,0.04015081296518001,0.2548713151100761,-0.002037272063697452,0.5355721839428089,6,0,0.9999999996608934,5,5,0,0.9998237335509279,5,7.337891312547695e-06,0.22326319271840567,9.465263854368114
