variable,F1,F2,F3,F4,F5,F6,F7
AAA,0.0383797375496544,0.06126285357286865,0.036636647752577134,0.46867075165770267,0.01626506591485133,0.022393237108349062,0.004635227307621226
BAA,0.0040093909851453,0.1320681362231586,0.020625764104020283,0.370973676115972,0.03504699394666133,0.004735597119978174,0.037426244078295534
COMPAPFFx,0.002286203393258912,0.007595403107762411,0.0798033884544268,0.10458637844315843,0.24369866628116466,0.0029966943810155744,0.05128259847103889
TB3SMFFM,0.02386278587135582,0.03800748073940152,0.10745137854165221,0.10639995553344428,0.4879681182402005,0.0047285835969508305,2.866255123870065e-4
TB6SMFFM,0.027317787928383908,0.028622084301155648,0.10603664038573213,0.10775658658895138,0.5525773157960346,0.0018260521189887857,0.003757619308187521
T1YFFM,0.03459867147853524,0.016067200295982076,0.08425406589583107,0.10186726702659832,0.5675832074719751,0.0022407094899301594,0.00851147863630719
T5YFFM,0.009759587539424297,0.07875836495697497,0.15872236794110017,0.04598426872092676,0.5517758782815816,0.0030262782880901007,0.015194928650337225
T10YFFM,0.0035355925084653572,0.1162796542466128,0.19738568158377723,0.047859751873724155,0.4833825719746282,8.784407697826069e-5,0.010116529439542776
AAAFFM,4.339248702772691e-4,0.15591403026442197,0.22434178759731727,0.0428266372524192,0.40205930769089926,1.9927173652223296e-4,0.007918608218776435
BAAFFM,0.008497259953898162,0.1866469041843709,0.2307267599284195,0.033012001381039435,0.3237199844478421,0.0021316944501136303,0.006063406750943412
TWEXAFEGSMTHx,5.95323291115446e-4,0.04665952513217375,0.017042236504032138,0.14735892131600847,0.026431116558276124,0.0019035330589745048,6.952182496821058e-4
EXSZUSx,7.779035574695392e-4,0.017391206699244766,0.0031925318514509637,0.13394563843084517,0.012634731080338968,0.010546661235241284,0.011360586823186636
EXJPUSx,3.6902857935383615e-4,0.01051975098978375,3.331690881885896e-4,0.10180088776452234,0.0197021585164453,0.007146490355699586,0.02338878068906458
EXUSUKx,5.854725309829556e-4,0.012458812320346069,0.01712750201340263,0.07122707997802413,0.01483993185157706,0.002218801217563904,0.0032618964204327305
EXCAUSx,0.003113722132798258,0.06489673209828728,0.03609676135055895,0.04432336048373575,0.004924627160500128,0.0029535074607229816,0.08472063863088708
WPSFD49207,0.0064590931820596165,0.25473217694987793,0.2734837420924646,0.0027486722930822882,0.003245551816999259,0.0075626071455972,0.0039050853640728578
WPSFD49502,0.006928343766763989,0.26767103489698707,0.27745137801825337,0.002680839339172514,0.0034815109410751832,0.007720346244295628,0.0031467858753984057
WPSID61,0.019307992723773704,0.26240386939025806,0.23890996606402515,5.189701058450069e-4,0.002560130911452685,0.004814087186772453,3.053104741534973e-4
WPSID62,0.003695381873601189,0.13521443695485247,0.11220278913357629,2.2683956349967005e-6,0.0019769886578758777,0.0062096283935231256,0.0012463736140871928
OILPRICEx,9.215616931790294e-7,0.07023679177648501,0.10456009774085817,0.003749822603992814,0.003229778902689495,0.001762010270059844,5.364654360699994e-4
PPICMM,0.0010234038363312603,0.02303284990134491,0.009758993805974003,0.002545660246680459,0.0030907076568242875,6.945845530192951e-5,0.006482821417299611
CPIAUCSL,0.018152122206445687,0.3429432620076668,0.3954261079788799,0.011259669968783581,0.0013870821434701641,0.005640586845122253,0.02409704740713714
CPIAPPSL,0.04979477152087597,0.0317865243870723,0.0018701294916375621,1.2839367747541353e-4,0.0034601052563038026,0.013450996488197808,7.98480353844333e-4
CPITRNSL,0.022941377443003397,0.3569403542787204,0.3279539012594984,0.0036463543975522317,5.759308810224795e-4,0.001251541936379108,0.009144607674193894
CPIMEDSL,7.714287431892508e-5,0.0012359229384317771,0.0016105559952165338,0.0026856962009706997,4.667528825283984e-4,7.780161850212686e-6,4.3436683642239515e-4
