date,w_SPX,w_BOND,w_GOLD,w_OIL,w_USD,pnl,cum_pnl,K,regime,max_p,G,turnover
2023-10-02,0.18725365,0.13459497,0.24210174,0.09371152,0.34233811,-0.00271770,-0.01322447,6,3,1.00000000,5,0.00000038
2023-10-03,0.00383448,0.17699883,0.24210224,0.00000000,0.57706445,-0.00164691,-0.01487138,6,2,1.00000000,5,0.27713070
2023-10-04,0.19389223,0.15317009,0.24210240,0.08341851,0.32741676,-0.00313511,-0.01800649,6,3,0.99999995,5,0.27347643
2023-10-05,0.19389243,0.15316992,0.24210240,0.08341853,0.32741671,-0.00329100,-0.02129749,6,3,0.99999833,5,0.00000023
2023-10-06,0.00419423,0.15370337,0.24210240,0.00000000,0.60000000,-0.00081743,-0.02211491,6,2,1.00000000,5,0.27311674
2023-10-09,0.00419624,0.15370137,0.24210548,0.00000000,0.59999692,0.00618547,-0.01592944,6,2,1.00000000,5,0.00000509
2023-10-10,0.19421578,0.14566617,0.24210564,0.08487051,0.33314190,-0.00093427,-0.01686371,6,3,0.99999999,5,0.27489022
2023-10-11,0.20181367,0.13882340,0.24211288,0.08486656,0.33238350,0.00222817,-0.01463554,6,3,0.99998972,5,0.00760512
2023-10-12,0.00608647,0.14741807,0.24649546,0.00000000,0.60000000,0.00282108,-0.01181446,6,2,0.99999999,5,0.28059375
2023-10-13,0.00608633,0.14741718,0.24649545,0.00000001,0.60000103,0.00911030,-0.00270416,6,2,1.00000000,5,0.00000104
2023-10-16,0.00608619,0.14741616,0.24649549,0.00000001,0.60000214,-0.00462490,-0.00732905,6,2,1.00000000,5,0.00000116
2023-10-17,0.00608422,0.14741668,0.24650036,0.00000001,0.59999873,-0.00079632,-0.00812538,6,2,1.00000000,5,0.00000538
2023-10-18,0.00607966,0.14741874,0.24649009,0.00000006,0.60001145,0.00497831,-0.00314706,6,2,0.99999999,5,0.00001483
2023-10-19,0.18549291,0.13968470,0.24649020,0.08096983,0.34736236,0.00153599,-0.00161107,6,3,0.99978565,5,0.26038313
2023-10-20,0.18549297,0.21738723,0.24975747,0.00000000,0.34736233,-0.00028464,-0.00189571,6,0,0.99999997,5,0.08096986
2023-10-23,0.04510292,0.21738735,0.24975778,0.00000001,0.48775194,-0.00236087,-0.00425658,6,2,1.00000000,5,0.14039005
2023-10-24,0.04508508,0.21739344,0.24976371,0.00000007,0.48775771,0.00347052,-0.00078606,6,2,1.00000000,5,0.00001784
2023-10-25,0.04508507,0.21739347,0.24976373,0.00000000,0.48775773,-0.00021264,-0.00099870,6,2,1.00000000,5,0.00000008
