"date","dominant_regime","regime_prob","rolling_dd","daily_return","cum_return_window"
2008-05-05,1,1,-0.0266386488724593,0.00981842282306307,0.000467668349388257
2008-05-06,1,1,-0.0266386488724593,0.00326828662897658,-2.82532363581772e-05
2018-02-06,4,1,-0.0265460628325983,0.0059018830691593,-0.0165366822201921
2018-02-07,4,1,-0.0265460628325983,-0.00557038521717323,-0.0232860795378091
2018-02-05,3,0.965491192571185,-0.0265460628325983,-0.0087015565300336,-0.0229692509662846
2009-06-18,4,1,-0.0264955212456757,-0.00949186073629765,-0.0151910504048657
2009-06-19,4,1,-0.0264955212456757,0.0016003573841097,-0.024895163861566
2009-06-20,4,1,-0.0264955212456757,0,-0.024895163861566
2011-05-22,3,0.999999999999971,-0.0264946455550403,0,-0.017223253946995
2008-01-17,1,1,-0.0264544997735598,-0.00617249272680957,-0.00487131844164141
2008-01-18,1,1,-0.0264544997735598,0.00174559225284291,-0.00897401334990293
2008-01-19,1,1,-0.0264544997735598,0,-0.00897401334990293
2008-01-20,1,1,-0.0264544997735598,0,-0.00897401334990293
2007-08-09,1,1,-0.0263644045887109,-0.0127974717692416,-0.0258866008349923
2007-08-10,1,1,-0.0263644045887109,0.00539859668386118,-0.0209658079048497
2007-08-11,1,1,-0.0263644045887109,0,-0.0209658079048497
2021-03-07,4,1,-0.0263488685578031,0,-0.024209906013886
2013-04-12,4,1,-0.0262348284560342,-0.0177787888351943,-0.0210754461239468
2013-04-13,4,1,-0.0262348284560342,0,-0.0210754461239468
2013-04-14,4,1,-0.0262348284560342,0,-0.0210754461239468
2006-10-03,1,1,-0.0262216965507085,-0.0170865104352335,-0.0158797105564415
2006-10-04,1,1,-0.0262216965507085,0.0026673366719352,-0.016184067051659
2006-10-05,1,1,-0.0262216965507085,0.00463023374156481,-0.0016200503951226
2006-10-06,1,1,-0.0262216965507085,-0.00289996959804464,-0.00694900756929662
2006-10-07,1,1,-0.0262216965507085,0,-0.00694900756929662
2006-10-08,1,1,-0.0262216965507085,0,-0.00694900756929662
2006-10-09,1,1,-0.0262216965507085,0.00291155791668009,-0.0101560690834035
2006-10-10,1,1,-0.0262216965507085,-0.0063730921766373,-0.00467799076778228
2005-10-20,1,0.999999999942977,-0.0261855379162622,-0.00787724783081082,-0.0298436437000601
2005-10-21,1,0.999999999994842,-0.0261855379162622,0.00478475261814971,-0.0214007852981125
2005-10-22,1,0.999999999698248,-0.0261855379162622,0,-0.0214007852981125
2022-03-17,4,0.979415438423883,-0.0261609342012061,0.00112744119246592,0.00290903576965786
2022-03-15,1,0.99999646408031,-0.0261609342012061,-0.00384879778913757,0.0041089991472262
2022-03-16,1,0.999854081212063,-0.0261609342012061,0.000702109397507262,0.00581749477894014
2022-03-18,4,0.843199481871834,-0.0261609342012061,-0.000207376100994969,0.00516022962364814
2022-03-19,1,0.925074943344732,-0.0261609342012061,0,0.00516022962364814
2022-03-20,3,1,-0.0261609342012061,0,0.00516022962364814
2006-08-28,1,1,-0.0261324622713475,-0.00784667362413509,-0.0258885980163554
2006-08-29,1,1,-0.0261324622713475,-0.00208030541980458,-0.0235100903051981
2009-04-02,1,1,-0.0261112956392452,-0.0152078903134028,-0.0122355365928349
2008-09-03,1,1,-0.0261054232945169,-0.00102053392097634,-0.0132860410119501
2007-03-02,1,1,-0.0260874135293434,-0.0121201349151766,-0.0091804302353732
2007-03-03,1,1,-0.0260874135293434,0,-0.0091804302353732
2007-03-04,1,1,-0.0260874135293434,0,-0.0091804302353732
2001-03-29,1,0.999999999999994,-0.0259563185902985,-0.00107251293756751,-0.0301602057562192
2001-03-30,1,0.999999999999997,-0.0259563185902985,0.0040925500562498,-0.0215185214883803
2001-03-31,1,0.99999999999998,-0.0259563185902985,0,-0.0215185214883803
2013-09-17,4,1,-0.0258699037686671,-0.000667664233692108,-0.0262745168139554
2012-05-11,4,1,-0.0258178199661937,-0.00294481745043282,-0.0178647193174588
2012-05-12,4,1,-0.0258178199661937,0,-0.0178647193174588
2012-05-13,3,0.999999999999833,-0.0258178199661937,0,-0.0178647193174588
2003-04-02,2,1,-0.0257466485518204,-0.00446206303216267,-0.0265702156349647
2003-04-03,2,1,-0.0257466485518204,-0.0014651937160044,-0.0186765105734386
2003-04-04,2,1,-0.0257466485518204,-0.00137739632084554,-0.0220806189013885
2003-04-05,2,1,-0.0257466485518204,0,-0.0220806189013885
2007-03-20,1,1,-0.0257462974966174,0.00293173290982897,-0.0223886607160769
2025-10-27,4,1,-0.0257234220601879,-0.00979892911441276,0.00974815211121016
2001-03-14,1,0.997768128773488,-0.0257211827742252,-0.0104526800791006,-0.0117421340222263
2001-03-15,1,0.999999244012258,-0.0257211827742252,0.00303769991016624,-0.00841632883250421
2015-09-09,4,1,-0.0256110777570231,-0.00549334100024546,-0.022510972288656
2013-09-16,3,0.999999999999638,-0.0256068525802633,-0.00366709176975609,-0.0198471006372561
2018-12-19,3,1,-0.025552174087477,-0.00175688028229086,-0.0169264436454246
2023-02-21,4,1,-0.0255044439687055,-0.0045483371750457,-0.0205064708476409
2007-11-19,1,1,-0.0254466615268631,-0.00361169495978081,-0.0122428944592501
2007-11-21,1,1,-0.0254466615268631,-0.00454099846021351,-0.0044208081398658
2007-11-26,1,1,-0.0254466615268631,-0.00376211617462633,0.00458391550275262
2007-11-20,1,1,-0.0254466615268631,0.0147380159626404,0.0126470283209778
2007-11-22,1,1,-0.0254466615268631,0.000762414991863433,0.00504855156400508
2007-11-23,1,1,-0.0254466615268631,0.0106145251151678,0.00365000046316303
2007-11-24,1,1,-0.0254466615268631,0,0.00365000046316303
2007-11-25,1,1,-0.0254466615268631,0,0.00365000046316303
2003-04-06,2,1,-0.0254153789294805,0,-0.0220806189013885
2009-12-08,3,0.999999999992917,-0.0253880812308408,-0.00817877161700173,-0.00672109774973439
2006-03-10,1,1,-0.0253587601985669,-0.00317893417398105,-0.00964438342713694
2006-03-11,1,1,-0.0253587601985669,0,-0.00964438342713694
2006-03-12,1,1,-0.0253587601985669,0,-0.00964438342713694
2006-03-13,1,1,-0.0253587601985669,0.00860976409025277,-0.00229145420212823
2006-03-14,1,1,-0.0253587601985669,0.00956253376456024,0.00484990544167908
2006-03-15,1,1,-0.0253587601985669,-0.00209243374521431,0.00670213954185939
2006-03-16,1,1,-0.0253587601985669,0.00650002766351885,0.0207824949825591
2006-03-17,1,1,-0.0253587601985669,-0.00354910972306041,0.00180274177496289
2006-03-18,1,1,-0.0253587601985669,0,0.00180274177496289
2006-03-19,1,1,-0.0253587601985669,0,0.00180274177496289
2006-03-20,1,1,-0.0253587601985669,-0.00672785483382433,-0.00213554567105862
2006-03-21,1,1,-0.0253587601985669,-0.00297208544133031,-0.00770775418458299
2006-03-22,1,1,-0.0253587601985669,0.000273321777989074,-0.010659754047609
2023-10-05,4,1,-0.0253182119050288,-0.000347090717103736,-0.0208616685636158
2023-10-03,4,1,-0.0253182119050288,-0.00255177201381278,-0.023036271581289
2023-10-04,4,1,-0.0253182119050288,0.00124535889531516,-0.0211026293522498
2023-10-06,4,1,-0.0253182119050288,-0.000882829417541051,-0.0233917964053747
2023-10-07,4,1,-0.0253182119050288,0,-0.0233917964053747
2023-10-08,4,1,-0.0253182119050288,0,-0.0233917964053747
2004-04-19,1,0.91174433259004,-0.0253075668540219,-0.00196165927132883,-0.0191164264072656
2004-04-15,1,0.993716075631826,-0.0253075668540219,-0.00049473791036085,-0.0222729737907422
2004-04-16,1,0.999196231109431,-0.0253075668540219,0.00319342762657055,-0.0190865966885923
2004-04-17,1,0.941683963480305,-0.0253075668540219,0,-0.0190865966885923
2004-04-18,1,0.814374779590615,-0.0253075668540219,0,-0.0190865966885923
2008-04-08,1,1,-0.0253073312985222,-0.00306043568613778,-0.0167807100468609
2008-04-09,1,1,-0.0253073312985222,0.00941954040630963,0.0156750685679077
2008-04-10,1,1,-0.0253073312985222,-0.00393628679450729,0.0162595760308564
2008-04-11,1,1,-0.0253073312985222,-0.00393978503588981,0.00917441129668125
2008-04-12,1,1,-0.0253073312985222,0,0.00917441129668125
2008-04-13,1,1,-0.0253073312985222,0,0.00917441129668125
2008-04-14,1,1,-0.0253073312985222,0.000263531265385015,0.0126540503198894
2008-04-15,1,1,-0.0253073312985222,0.00376420821472302,0.00826686472845156
2022-09-28,4,0.999999963583087,-0.0252465761296011,0.0166248533178265,-0.0138908515075078
2020-06-07,1,1,-0.0252215789390335,0,-0.0277997529231028
2020-06-10,1,1,-0.0252215789390335,0.00313307569961165,-0.0149223269637877
2020-06-11,1,1,-0.0252215789390335,0.00373236760786796,-0.00845014689858085
2020-06-12,1,1,-0.0252215789390335,-2.179539208367e-05,-0.012455909792396
2020-06-13,1,1,-0.0252215789390335,0,-0.012455909792396
2020-06-08,1,1,-0.0252215789390335,0.00208729499315846,-0.0205329096791491
2020-06-09,1,1,-0.0252215789390335,0.00383472623808307,-0.0167928734423406
2013-11-20,4,1,-0.0251740864693791,-0.0105213920562067,-0.0304322377434782
