date,w_SPX,w_BOND,w_GOLD,w_OIL,w_USD,pnl,cum_pnl,K,regime,max_p,G,turnover
2022-01-17,0.20242309,0.64791308,0.14966379,0.00000000,0.00000004,0.00017144,0.68568463,4,0,0.99822618,5,0.00000001
2022-01-18,0.20242309,0.64791308,0.14966380,0.00000000,0.00000003,-0.00985939,0.67582524,4,0,0.99762504,5,0.00000001
2022-01-19,0.20242309,0.64791308,0.14966380,0.00000000,0.00000002,0.00264393,0.67846917,4,0,0.98853034,5,0.00000001
2022-01-20,0.20242310,0.64791309,0.14966380,0.00000000,0.00000002,-0.00277228,0.67569689,4,0,0.97748524,5,0.00000001
2022-01-21,0.20242310,0.64791309,0.14966380,0.00000000,0.00000001,-0.00420561,0.67149128,4,0,0.94759302,5,0.00000000
2022-01-24,0.20242310,0.64791309,0.14966381,0.00000000,0.00000001,0.00725416,0.67874544,3,0,0.91288488,5,0.00000000
2022-01-25,0.20242310,0.64791309,0.14966381,0.00000000,0.00000001,-0.00501639,0.67372905,3,0,0.61402911,5,0.00000000
2022-01-26,0.20242026,0.64790772,0.14966034,0.00001168,0.00000000,-0.00625425,0.66747479,3,1,0.83762527,5,0.00001168
2022-01-27,0.20241483,0.64789758,0.14965378,0.00003381,0.00000000,-0.00064771,0.66682709,3,1,0.99728514,5,0.00002212
2022-01-28,0.20240936,0.64788740,0.14964720,0.00005604,0.00000000,0.00616734,0.67299443,3,1,0.99947134,5,0.00002224
2022-01-31,0.20240935,0.64788739,0.14964719,0.00005608,0.00000000,0.00416120,0.67715562,3,2,0.99997406,5,0.00000003
2022-02-01,0.20240934,0.64788737,0.14964718,0.00005611,0.00000000,0.00070872,0.67786434,3,2,0.99997909,5,0.00000003
2022-02-02,0.20240278,0.64787690,0.14964093,0.00007938,0.00000000,0.00439998,0.68226432,3,2,0.99970864,5,0.00002328
2022-02-03,0.20239644,0.64786674,0.14963486,0.00010196,0.00000000,-0.00870999,0.67355433,3,2,0.99294023,5,0.00002257
2022-02-04,0.20237506,0.64783923,0.14961450,0.00017120,0.00000000,-0.00474513,0.66880920,3,2,0.99991143,5,0.00006925
2022-02-07,0.20237001,0.64782974,0.14960837,0.00019188,0.00000000,0.00128691,0.67009611,3,1,0.99942059,5,0.00002067
2022-02-08,0.20236503,0.64782035,0.14960232,0.00021230,0.00000000,-0.00019375,0.66990236,3,1,0.99587870,5,0.00002042
2022-02-09,0.20236116,0.64781305,0.14959762,0.00022817,0.00000000,0.00510065,0.67500301,3,1,0.99801636,5,0.00001587
2022-02-10,0.20236113,0.64781301,0.14959759,0.00022827,0.00000000,-0.01022355,0.66477946,3,1,0.99775375,5,0.00000010
2022-02-11,0.20235702,0.64780532,0.14959265,0.00024501,0.00000000,0.00339600,0.66817546,3,1,0.99658429,5,0.00001674
2022-02-14,0.20235204,0.64779609,0.14958672,0.00026516,0.00000000,-0.00268319,0.66549227,3,1,0.99997864,5,0.00002015
2022-02-15,0.20235203,0.64779607,0.14958671,0.00026520,0.00000000,-0.00109114,0.66440113,3,1,0.99975576,5,0.00000004
2022-02-16,0.20234694,0.64778678,0.14958080,0.00028547,0.00000000,0.00143217,0.66583330,3,1,0.99992261,5,0.00002028
2022-02-17,0.20234257,0.64777878,0.14957571,0.00030295,0.00000000,0.00215378,0.66798708,3,1,0.99610861,5,0.00001748
2022-02-18,0.20233889,0.64777199,0.14957136,0.00031776,0.00000000,0.00111799,0.66910507,3,1,0.99997710,5,0.00001482
2022-02-21,0.19545046,0.64777388,0.14957345,0.00720143,0.00000078,0.00084133,0.66994640,3,3,0.93724022,5,0.00688843
2022-02-22,0.19544730,0.64777002,0.14957124,0.00721143,0.00000000,-0.00490586,0.66504055,3,3,0.76585057,5,0.00001001
2022-02-23,0.19544998,0.64777316,0.14957323,0.00720081,0.00000282,-0.00452829,0.66051225,3,0,0.65144183,5,0.00001063
2022-02-24,0.19544543,0.64776779,0.14957004,0.00721673,0.00000000,0.00315199,0.66366425,3,3,0.58835145,5,0.00001592
2022-02-25,0.19542408,0.64776921,0.14957302,0.00723291,0.00000078,0.00212158,0.66578583,3,3,0.86796323,5,0.00002135
2022-02-28,0.19542012,0.64776200,0.14956827,0.00724961,0.00000000,0.01015736,0.67594319,3,1,0.99997446,5,0.00001670
2022-03-01,0.19541599,0.64775438,0.14956339,0.00726624,0.00000000,0.00777956,0.68372275,3,1,0.99996362,5,0.00001663
2022-03-02,0.19541598,0.64775435,0.14956337,0.00726630,0.00000000,-0.00620270,0.67752005,3,1,0.99932213,5,0.00000006
2022-03-03,0.19541596,0.64775431,0.14956335,0.00726639,0.00000000,0.00069719,0.67821723,3,1,0.99500861,5,0.00000009
2022-03-04,0.19541594,0.64775428,0.14956333,0.00726645,0.00000000,0.00872729,0.68694452,3,1,0.99993631,5,0.00000006
2022-03-07,0.19539819,0.64773087,0.14954579,0.00732514,0.00000000,-0.00488416,0.68206036,3,1,0.99746280,5,0.00005870
2022-03-08,0.19538352,0.64771160,0.14953139,0.00737349,0.00000000,-0.00427691,0.67778345,3,1,0.99478855,5,0.00004834
2022-03-09,0.19536652,0.64768997,0.14951548,0.00742803,0.00000000,-0.00496495,0.67281850,3,1,0.74828117,5,0.00005455
2022-03-10,0.19335823,0.64770056,0.14952721,0.00940972,0.00000427,-0.00420803,0.66861047,3,3,1.00000000,5,0.00200829
2022-03-11,0.19335565,0.64769776,0.14952556,0.00942018,0.00000085,-0.00272080,0.66588967,3,3,0.75695150,5,0.00001045
2022-03-14,0.19335502,0.64769701,0.14952507,0.00942280,0.00000010,-0.01245788,0.65343179,3,1,0.89674219,5,0.00000262
2022-03-15,0.19334918,0.64768977,0.14952099,0.00944006,0.00000000,-0.00004068,0.65339112,3,3,0.84455575,5,0.00001726
2022-03-16,0.19332892,0.64769113,0.14952383,0.00945541,0.00000072,0.00349294,0.65688405,3,3,0.96052826,5,0.00002026
2022-03-17,0.19332675,0.64768847,0.14952231,0.00946247,0.00000000,0.00400383,0.66088788,3,1,0.52467427,5,0.00000706
2022-03-18,0.19332466,0.64768576,0.14952084,0.00946874,0.00000000,0.00333832,0.66422620,3,3,0.50172649,5,0.00000627
2022-03-21,0.19332463,0.64768571,0.14952080,0.00946886,0.00000000,-0.00806368,0.65616252,3,1,0.99994771,5,0.00000012
2022-03-22,0.19332414,0.64768501,0.14952037,0.00947049,0.00000000,-0.00245301,0.65370952,3,1,0.99337875,5,0.00000163
2022-03-23,0.19332412,0.64768498,0.14952035,0.00947054,0.00000000,0.00306745,0.65677696,3,1,0.99991306,5,0.00000005
2022-03-24,0.19332410,0.64768495,0.14952033,0.00947061,0.00000000,0.00244559,0.65922255,3,1,0.99984081,5,0.00000007
2022-03-25,0.19332391,0.64768467,0.14952016,0.00947126,0.00000000,-0.00782361,0.65139895,3,1,0.99984927,5,0.00000065
2022-03-28,0.19036764,0.64770121,0.14953816,0.01238637,0.00000662,-0.00113839,0.65026056,3,3,0.99940424,5,0.00295627
2022-03-29,0.19034872,0.64770270,0.14954132,0.01240364,0.00000361,0.00631399,0.65657455,3,3,0.99999714,5,0.00002192
