"date","bonds"
1984-10-09,58.87
1984-10-10,58.87
1984-10-11,59.07
1984-10-12,59.22
1984-10-15,59.04
1984-10-16,59.11
1984-10-17,59.27
1984-10-18,59.92
1984-10-19,60.51
1984-10-22,60.63
1984-10-23,61.03
1984-10-24,61.19
1984-10-25,60.92
1984-10-26,60.45
1984-10-29,60.59
1984-10-30,61.27
1984-10-31,61.15
1984-11-01,61.63
1984-11-02,61.67
1984-11-05,61.89
1984-11-06,61.91
1984-11-07,61.43
1984-11-08,61.18
1984-11-09,61.52
1984-11-12,61.54
1984-11-13,61.37
1984-11-14,61.21
