"date","copper"
1987-07-27,1709.2
1987-07-28,1700.54
1987-07-29,1715.2
1987-07-30,1755.18
1987-07-31,1744.23
1987-08-03,1789.02
1987-08-04,1778.84
1987-08-05,1777.95
1987-08-06,1741.95
1987-08-07,1734.51
1987-08-10,1759.5
1987-08-11,1793.79
1987-08-12,1792.17
1987-08-13,1758.91
1987-08-14,1745.63
1987-08-17,1772.54
1987-08-18,1780.56
1987-08-19,1756.44
1987-08-20,1748.24
1987-08-21,1754.31
1987-08-24,1689.75
1987-08-25,1707.16
1987-08-26,1696.1
1987-08-27,1731.78
1987-08-28,1727.15
1987-08-31,NA
1987-09-01,1733
1987-09-02,1714.94
1987-09-03,1688.44
1987-09-04,1725.1
1987-09-07,NA
1987-09-08,1764.7
1987-09-09,1791.5
1987-09-10,1798.25
1987-09-11,1811.56
1987-09-14,1816.49
1987-09-15,1792.24
1987-09-16,1798.31
1987-09-17,1853.18
1987-09-18,1871.76
1987-09-21,1873.8
1987-09-22,1847.03
1987-09-23,1846.99
1987-09-24,1886.16
1987-09-25,1883.37
1987-09-28,1875.9
1987-09-29,1853.98
1987-09-30,1850.22
1987-10-01,1840.32
1987-10-02,1839.59
1987-10-05,1878.16
1987-10-06,1895.09
1987-10-07,1910.77
1987-10-08,1920.38
1987-10-09,1955.61
1987-10-12,1982.17
1987-10-13,2012.66
1987-10-14,2022.87
1987-10-15,2031.3
1987-10-16,2041.37
1987-10-19,2072.71
1987-10-20,1742.33
1987-10-21,1947.81
1987-10-22,1991.86
1987-10-23,2019.49
1987-10-26,2033.56
1987-10-27,2042
1987-10-28,2036.61
1987-10-29,1968.8
1987-10-30,2042.57
1987-11-02,2077.73
1987-11-03,2107.82
1987-11-04,2134.81
1987-11-05,2157.94
1987-11-06,2303.14
1987-11-09,2485.61
1987-11-10,2411.33
1987-11-11,2732.91
1987-11-12,2516.47
1987-11-13,2548.9
1987-11-16,2536.07
1987-11-17,2448.99
1987-11-18,2589.83
1987-11-19,2644.63
1987-11-20,2659.61
1987-11-23,2626.16
1987-11-24,2692.78
1987-11-25,2867.9
1987-11-26,NA
1987-11-27,2793.24
1987-11-30,2838.33
1987-12-01,2712.72
1987-12-02,2686.73
