,turnover
2021-11-09,1.8497533363479626e-06
2021-11-10,6.113449552650674e-06
2021-11-11,2.4514215247838694e-06
2021-11-12,7.760693000770999e-06
2021-11-15,5.189359405149597e-06
2021-11-16,7.161726028902371e-07
2021-11-17,1.820241227946255e-06
2021-11-18,4.379710961307655e-06
2021-11-19,1.345173701977181e-07
2021-11-22,3.6100132198504405e-06
2021-11-23,3.1525059265431925e-06
2021-11-24,4.531302764390281e-06
2021-11-25,3.258115869796317e-06
2021-11-26,2.7371264460695143e-06
2021-11-29,9.091843441945119e-05
2021-11-30,5.0518390836179614e-06
2021-12-01,2.6410715228989955e-05
2021-12-02,2.4152724636036233e-05
2021-12-03,2.450450410250539e-05
2021-12-06,2.25368529242634e-05
2021-12-07,3.9721794187999256e-06
2021-12-08,4.064668616078294e-06
2021-12-09,4.424656584770919e-06
2021-12-10,3.927023376594061e-06
2021-12-13,4.016680160875186e-06
2021-12-14,3.3581769367830465e-06
2021-12-15,2.4702373447027044e-05
2021-12-16,3.7604755794901626e-06
2021-12-17,3.070923834515773e-06
2021-12-20,2.3479770074535253e-05
2021-12-21,2.2670836173927616e-05
2021-12-22,4.8433109874054366e-06
2021-12-23,3.8261604796054585e-06
2021-12-24,3.678290883768612e-06
2021-12-27,3.5381082878382002e-06
2021-12-28,3.5338455337901147e-06
2021-12-29,3.5970860668915576e-06
2021-12-30,3.811395900494346e-06
2021-12-31,3.5757205884923973e-06
2022-01-03,3.377637920253589e-06
2022-01-04,7.0454918962977405e-06
2022-01-05,2.4811076851841395e-06
2022-01-06,4.982198045280426e-06
2022-01-07,5.411376373411015e-06
2022-01-10,4.730188739056002e-06
2022-01-11,5.1875924836885514e-06
2022-01-12,4.9772179213338196e-06
2022-01-13,4.258374990322093e-06
2022-01-14,3.861861280428807e-06
2022-01-17,4.444714829750121e-06
2022-01-18,4.334431788393497e-06
2022-01-19,4.6966975713824735e-06
2022-01-20,4.6694436368057604e-06
2022-01-21,4.352542957513993e-06
2022-01-24,3.935158419368827e-06
2022-01-25,3.2331323522221044e-06
2022-01-26,3.1282193371131887e-06
2022-01-27,3.5790241056137622e-06
2022-01-28,2.4528117672255857e-05
2022-01-31,3.963398827839017e-06
2022-02-01,4.317351206864335e-06
2022-02-02,4.694662809393631e-06
2022-02-03,4.670308588226691e-06
2022-02-04,4.4746819699851e-06
2022-02-07,6.120668727459869e-06
2022-02-08,5.574380361862322e-06
2022-02-09,6.318861077866106e-06
2022-02-10,6.476666295960497e-06
2022-02-11,7.219840627921005e-06
2022-02-14,5.158068538877755e-06
2022-02-15,5.349800973283374e-06
2022-02-16,7.105744139978576e-06
2022-02-17,6.923103868379791e-06
2022-02-18,4.971969263570589e-06
2022-02-21,4.392790546061299e-06
2022-02-22,4.298744299097668e-06
2022-02-23,4.222049116439955e-06
2022-02-24,3.6591175432311257e-06
2022-02-25,3.868004282399518e-06
2022-02-28,5.213145571267754e-06
2022-03-01,3.860638063661082e-06
2022-03-02,5.747211601438776e-06
2022-03-03,0.05694282996579875
2022-03-04,1.1963078752237621e-06
2022-03-07,0.019219954842551873
2022-03-08,0.02076356020478054
2022-03-09,0.048324202014939255
2022-03-10,0.0744444805167949
2022-03-11,9.996173323289076e-06
2022-03-14,0.04324686759782862
2022-03-15,2.1087862030424734e-07
2022-03-16,8.031491809806779e-08
2022-03-17,3.0520608501963253e-07
2022-03-18,2.998983792898424e-07
2022-03-21,2.5747435675183006e-07
2022-03-22,2.560122817490962e-07
2022-03-23,1.9433555182787887e-07
2022-03-24,2.637886545829582e-07
2022-03-25,2.505716977796446e-07
2022-03-28,1.4374038927872368e-07
2022-03-29,3.601948128650889e-08
2022-03-30,8.681733024498706e-08
2022-03-31,1.8592626390215305e-07
2022-04-01,2.2767982673851939e-07
2022-04-04,1.833143961522954e-07
2022-04-05,1.652121436740428e-07
2022-04-06,5.961715091387654e-08
2022-04-07,5.5998554682190615e-09
2022-04-08,2.2248968195581753e-08
2022-04-11,2.270597461093149e-08
2022-04-12,5.003422707747229e-08
2022-04-13,1.0246522657783586e-07
2022-04-14,1.3815306874886968e-07
2022-04-15,1.3715923727342094e-07
2022-04-18,1.409527533198507e-07
