,turnover
2007-01-30,8.80180657196021e-05
2007-01-31,8.11421720353922e-05
2007-02-01,0.00012039973225836872
2007-02-02,5.272563095033017e-06
2007-02-05,5.1588552182207925e-06
2007-02-06,5.100024744179865e-06
2007-02-07,4.882101483315998e-06
2007-02-08,4.666150467045466e-06
2007-02-09,4.491061649083972e-06
2007-02-12,4.34623427116379e-06
2007-02-13,4.497294847791156e-06
2007-02-14,4.414482190302771e-06
2007-02-15,4.378280743278645e-06
2007-02-16,0.00011476645590208917
2007-02-19,0.00010272959567672602
2007-02-20,4.242959472815222e-06
2007-02-21,9.772015765285857e-05
2007-02-22,0.000136710982742861
2007-02-23,4.3681489350147484e-06
2007-02-26,4.36398683786518e-06
2007-02-27,4.197806367598617e-06
2007-02-28,4.06955768124731e-06
2007-03-01,4.30068544217399e-06
2007-03-02,4.141904193923768e-06
2007-03-05,0.0003675261288589478
2007-03-06,1.0415662754628685e-05
2007-03-07,1.0377434831440602e-05
2007-03-08,1.0208454041257115e-05
2007-03-09,1.0008452079011965e-05
2007-03-12,9.879409667498673e-06
2007-03-13,9.751914337000761e-06
2007-03-14,9.631984169436447e-06
2007-03-15,9.44051601650675e-06
2007-03-16,9.288459811292865e-06
2007-03-19,9.473446309988393e-06
2007-03-20,9.331795967421758e-06
2007-03-21,9.211875077404924e-06
2007-03-22,9.195129382424949e-06
2007-03-23,9.044505950121795e-06
2007-03-26,8.844722504001978e-06
2007-03-27,8.811513527173104e-06
2007-03-28,8.62763035011302e-06
2007-03-29,8.437243560702884e-06
2007-03-30,8.175813786780173e-06
2007-04-02,7.938011504091819e-06
2007-04-03,7.654863654785876e-06
2007-04-04,7.398962523174485e-06
2007-04-05,7.209373144662079e-06
2007-04-06,6.98797116110636e-06
2007-04-09,6.758598111968744e-06
2007-04-10,6.52891805567879e-06
2007-04-11,6.349736939911116e-06
2007-04-12,6.146155321035823e-06
2007-04-13,5.975221351720017e-06
2007-04-16,5.837992980227413e-06
2007-04-17,5.683959224293128e-06
2007-04-18,5.557883542849779e-06
2007-04-19,5.4786611264553975e-06
2007-04-20,5.532988677284939e-06
2007-04-23,5.67124454440085e-06
2007-04-24,5.74814862819642e-06
2007-04-25,5.933484968190239e-06
2007-04-26,6.102302695581291e-06
2007-04-27,6.396775609193717e-06
2007-04-30,6.574081081147515e-06
2007-05-01,6.724609749441529e-06
2007-05-02,6.92679603727514e-06
2007-05-03,7.111934602569564e-06
2007-05-04,7.0873599363335815e-06
2007-05-07,7.234117503071569e-06
2007-05-08,7.2838619816842365e-06
2007-05-09,7.153140106359868e-06
2007-05-10,7.071986456098217e-06
2007-05-11,7.19277472371882e-06
2007-05-14,7.395301271556631e-06
2007-05-15,7.543341517830121e-06
2007-05-16,7.742463862828175e-06
2007-05-17,8.060228123048935e-06
2007-05-18,8.672353238863006e-06
2007-05-21,9.20574132956542e-06
2007-05-22,9.726134190004426e-06
2007-05-23,1.0332243552537562e-05
2007-05-24,1.1092492476293125e-05
2007-05-25,1.1988170451702335e-05
2007-05-28,1.2781648875248575e-05
2007-05-29,1.3542122057712963e-05
2007-05-30,1.4247993488498284e-05
2007-05-31,1.4809965175416329e-05
2007-06-01,1.526235180860161e-05
2007-06-04,1.5897950397154165e-05
2007-06-05,1.679683906533752e-05
2007-06-06,1.7494763382336354e-05
2007-06-07,1.811891345152375e-05
2007-06-08,1.943939704782474e-05
2007-06-11,9.424137095356833e-07
2007-06-12,9.796449910969007e-07
2007-06-13,1.0432175852580217e-06
2007-06-14,1.1209023219847791e-06
2007-06-15,1.2213380617617786e-06
