,macro_stress
2009-04-09,0.669520296535259
2009-04-10,0.6693167010427488
2009-04-13,0.6687604297293248
2009-04-14,0.6682246105417878
2009-04-15,0.6676666582595219
2009-04-16,0.6671210755811353
2009-04-17,0.6665648316587439
2009-04-20,0.6664961306883753
2009-04-21,0.6674842226115829
2009-04-22,0.6669599494639662
2009-04-23,0.6664289418090307
2009-04-24,0.6659936865319563
2009-04-27,0.6663181170748239
2009-04-28,0.6663100349301271
2009-04-29,0.6658841456872922
2009-04-30,0.6658581200862107
2009-05-01,0.6654386173568494
2009-05-04,0.6652074446207221
2009-05-05,0.6670571667458506
2009-05-06,0.6666907498150398
2009-05-07,0.6679538817727526
2009-05-08,0.6674033261732262
2009-05-11,0.6669528834360002
2009-05-12,0.6666114696400619
2009-05-13,0.6661410846911134
2009-05-14,0.6656266326374829
2009-05-15,0.6650903765104935
2009-05-18,0.6645543724691597
2009-05-19,0.6640536742774659
2009-05-20,0.6635301021632067
2009-05-21,0.6635471844035666
2009-05-22,0.6634182679708863
2009-05-25,0.6628885480752241
2009-05-26,0.662348179230708
2009-05-27,0.6620301282507519
2009-05-28,0.6614933363814006
2009-05-29,0.6625054207396192
2009-06-01,0.6631928343914546
2009-06-02,0.6627151070888471
2009-06-03,0.6625022130220459
2009-06-04,0.6626289484933686
2009-06-05,0.662925415638518
2009-06-08,0.6629220204913715
2009-06-09,0.6623929142977123
2009-06-10,0.6620168971590848
2009-06-11,0.661491134737203
2009-06-12,0.6613713032634574
2009-06-15,0.6609949237162149
2009-06-16,0.6613031127529061
2009-06-17,0.660912642814946
2009-06-18,0.6604217975862938
2009-06-19,0.6598915094598281
2009-06-22,0.6594279547779911
2009-06-23,0.6616843801968566
2009-06-24,0.6612052510620301
2009-06-25,0.6611187211102988
2009-06-26,0.6615845636002755
2009-06-29,0.6611695435390417
2009-06-30,0.6610399236460885
2009-07-01,0.6612989036184809
2009-07-02,0.6610045714986761
2009-07-03,0.6623558365675192
2009-07-06,0.6618323141088148
2009-07-07,0.6618538542950303
2009-07-08,0.6620361342058214
2009-07-09,0.6617708863307374
2009-07-10,0.6613664415287465
2009-07-13,0.6608404922291135
2009-07-14,0.6605250283589021
2009-07-15,0.6604002002306841
2009-07-16,0.6602800680611776
2009-07-17,0.6598949946257381
2009-07-20,0.6594796193226465
2009-07-21,0.6594599857964283
2009-07-22,0.6592596539150726
2009-07-23,0.6587865928921779
2009-07-24,0.6589206270737431
2009-07-27,0.6585189158878846
2009-07-28,0.6580613173210893
2009-07-29,0.6579481785609794
2009-07-30,0.6580567727263632
